"Application Date","Record Number","Record Type","Address","Status","Project Name","Description","Expiration Date","Kiva Hist T #",
"03/08/2021","BLD2021030482","Residential Swimming Pool No Deck","8391 SE MAGNOLIA AVE, HOBE SOUND FL 33455","Closed-Cancelled",,"Build a 10' x 24' in ground concrete swimming pool with a block retaining wall along rear on concrete footer",,,
"03/05/2021","BLD2021030411","Residential Swimming Pool No Deck","19150 SE COUNTY LINE RD, TEQUESTA FL 33469-1687","Issued",,"New Gunite Pool Construction",,,
"03/01/2021","BLD2021030026","Residential Swimming Pool No Deck","7281 SE PIERRE CIR, STUART FL 34997","Issued","CORYN","19' X 34'6"" IN GROUND POOL - DECK BY OTHERS",,,
"02/25/2021","BLD2021021563","Residential Swimming Pool No Deck","4814 SE BOLLARD AVE, STUART FL 34997-1919","Waiting on Applicant",,"New Gunite Pool Construction",,,
"02/23/2021","BLD2021021448","Residential Swimming Pool No Deck","5070 SW BLUE SKY LN, PALM CITY FL 34990","Issued","New Spa Build","New Spa build w/water features on back side of wall",,,
"02/10/2021","BLD2021020697","Residential Swimming Pool No Deck","5615 SE GRAHAM DR, STUART FL 34997","In Review","Klann","Residential swimming pool/spa with paver deck",,,
"01/19/2021","BLD2021010820","Residential Swimming Pool No Deck","5080 SE BURNING TREE CIR, STUART FL 34997-8701","Closed-Cancelled","New Pool Construction No Deck","New Pool Construction No Deck",,,
"01/10/2021","BLD2021010355","Residential Swimming Pool No Deck","668 SW HIDDEN RIVER AVE, PALM CITY FL 34990-1408","Issued","Brunache","Pool, spa, fire bowls, vanishing edge, paver decking by others",,,
"01/07/2021","BLD2021010220","Residential Swimming Pool No Deck",,"Issued",,"New swimming pool construction",,,
"12/30/2020","BLD2020121422","Residential Swimming Pool No Deck","6273 SE CANTERBURY LN, STUART FL 34997-8673","Issued","Add Spa/Redo Deck Addition","Add Spa/Sunshelf and Redo Deck Addition",,,
"12/23/2020","BLD2020121235","Residential Swimming Pool No Deck","9066 SE MARS ST, HOBE SOUND FL 33455","In Review","9066 MARS POOL","NEW POOL WITH NO DECK",,,
"12/22/2020","BLD2020121141","Residential Swimming Pool No Deck","1034 NW PINE LAKE DR, STUART FL 34994-9462","Closed-Certificate Issued","New Spa/Deck Addition","New Spa/Deck Addition to current pool and deck",,,
"12/21/2020","BLD2020121125","Residential Swimming Pool No Deck","9076 SE MARS ST, HOBE SOUND FL 33455-5414","Issued","9076 MARS POOL","NEW POOL WITH NO DECK",,,
"12/21/2020","BLD2020121119","Residential Swimming Pool No Deck","9538 SE SHARON ST, HOBE SOUND FL 33455","Closed-Cancelled",,"Construct new pool and spa",,,
"12/19/2020","BLD2020121064","Residential Swimming Pool No Deck","268 NE ALICE ST, JENSEN BEACH FL 34957","Issued","Gonano PDR","New Gunite Pool Construction",,,
"12/16/2020","BLD2020120899","Residential Swimming Pool No Deck","1457 NW LAKE PT, STUART FL 34994-9502","Issued","Baum","Inground concrete swimming pool",,,
"12/11/2020","BLD2020120621","Residential Swimming Pool No Deck","18941 SE REACH ISLAND LN, JUPITER FL 33458-1111","Issued",,"Install swimming pool and spa and pool piping",,,
"12/09/2020","BLD2020120533","Residential Swimming Pool No Deck","12479 SE PLANDOME DR, HOBE SOUND FL 33455-7920","Issued",,"Gate code #9246, no new bond, tied to existing1/7/21 REVISED SCOPE OF WORK - REPAIR EXISTING POOL FLOOR (GUNITE ONLY) REPLASTER AND RETILE EXISTING POOL AND SPA REMOVE POOL FLOOR AND REPLACE AFTER PILING INSTALLATION.Resurface & retitle existing pool and spa",,,
"11/10/2020","BLD2020110488","Residential Swimming Pool No Deck","1259 SW SEAHAWK WAY, PALM CITY FL 34990-4245","Issued",,"inground swimming pool / deck by others",,,
"11/09/2020","BLD2020110368","Residential Swimming Pool No Deck","2858 SW BEAUMONT AVE, PALM CITY FL 34990-5465","Issued",,"swimming pool deck by others",,,
"10/20/2020","BLD2020101078","Residential Swimming Pool No Deck","2959 SE ST LUCIE BLVD, STUART FL 34997","Issued","Kellner - Rear Fountains","Kellner - Rear Fountains",,,
"10/20/2020","BLD2020101075","Residential Swimming Pool No Deck","2959 SE ST LUCIE BLVD, STUART FL 34997","Issued","KELLNER FRONT ENTRY FOUNTAIN","NEW FRONT ENTRY FOUNTAIN",,,
"10/14/2020","BLD2020100765","Residential Swimming Pool No Deck","1240 SW DYER POINT RD, PALM CITY FL 34990-4220","Closed-Certificate Issued","Russell","42' 10' x 31' 8"" pool with spa NO DECK",,,
"10/08/2020","BLD2020100774","Residential Swimming Pool No Deck","1709 SW DYER POINT RD, PALM CITY FL 34990-1723","Issued",,"swimming pool no deck",,,
"09/28/2020","BLD2020100419","Residential Swimming Pool No Deck","1055 SW WHISPER RIDGE TRL, PALM CITY FL 34990-2049","Closed-Certificate Issued","Gordon","call larry 528-9544 if neededInstall Sun Shelf to Pool and Travertine Pavers to deck",,,
"09/21/2020","BLD2020091164","Residential Swimming Pool No Deck","808 NE MARANTA TERRADO, JENSEN BEACH FL 34957-5020","Closed-Certificate Issued",,"New pool construction",,,
"09/18/2020","BLD2020100235","Residential Swimming Pool No Deck","9024 SE PELICAN ISLAND WAY, HOBE SOUND FL 33455-3120","Issued","Milanese Pool Remodel","Pool, Coping, and sunshelf Renovation with approximately 1300 Sq Ft of Marble paver patio to cover existing concrete patio around entire swimming pool perimeter as approved engineering plans attached.",,,
"09/01/2020","BLD2020090038","Residential Swimming Pool No Deck","12064 SE LAUREL LN, HOBE SOUND FL 33455","Issued","LAUREL LN POOL","NEW POOL",,,
"08/27/2020","BLD2020081605","Residential Swimming Pool No Deck","1700 SE RANCH RD, PALM CITY FL 33478-2127","Issued","LIVECCHI","Pool 24' x 48' Gallons 42,786; Pavers set on sand Electrical Hook up to pool Pool Piping & Connection to Autofill",,,
"08/26/2020","BLD2020081532","Residential Swimming Pool No Deck","1453 NE HIGH HAMMOCK CT, JENSEN BEACH FL 34957-6507","Issued","Kirkconnell","in-ground concrete swimming pool",,,
"08/22/2020","BLD2020090590","Residential Swimming Pool No Deck","3133 SE DOUBLETON DR, STUART FL 34997-5609","Closed-Certificate Issued","SWIMMING POOL REMODEL","REFINISH SUREFACE NEW WATERLINE TILE, ADD SUNDECK AND SWIMOUT ADD 2 LIGHT NITCHES",,,
"08/18/2020","BLD2020081001","Residential Swimming Pool No Deck","4902 SW ABERDEEN CIR, PALM CITY FL 34990-3919","Closed-Cancelled",,"02/03/2021 - OWNER CHANGED TO PAVER DECK W/FOOTERSPREVIOUS SCOPE BELOW:New pool construction with deck",,,
"08/11/2020","BLD2020080574","Residential Swimming Pool No Deck","421 SW SUN CIR, PALM CITY FL 34990","Issued","Sybrant","Pool, paver deck, elect heat pump",,,
"07/20/2020","BLD2020071335","Residential Swimming Pool No Deck","1445 SW EGRET WAY, PALM CITY FL 34990-4231","Issued",,"swimming pool no deck",,,
"06/02/2020","BLD2020060179","Residential Swimming Pool No Deck","2454 SW RIVIERA RD, STUART FL 34997-1211","Closed-Certificate Issued","Foerster Residence","Fiberglass swimming pool with pavers in sand decking",,,
"05/14/2020","BLD2020050799","Residential Swimming Pool No Deck","562 SW PINE TREE LN, PALM CITY FL 34990","Closed-Certificate Issued","BRANCALEONE NEW POOL","NEW POOL CONSTRUCTION BUILT ON PILINGS PILINGS BY OTHERS",,,
"05/05/2020","BLD2020080215","Residential Swimming Pool No Deck","11273 SE BLAIR LN, HOBE SOUND FL 33455","Issued","Hobe Sound Townhouse","Hobe Sound Courtyard Pool Building #2 Unit #10",,,
"05/05/2020","BLD2020080214","Residential Swimming Pool No Deck","11271 SE BLAIR LN, HOBE SOUND FL 33455","Issued","Hobe Sound Townhouse","Hobe Sound Courtyard Pool Building #2 Unit #9",,,
"05/05/2020","BLD2020080204","Residential Swimming Pool No Deck","11267 SE BLAIR LN, HOBE SOUND FL 33455","Issued","Hobe Sound Townhouse","Hobe Sound Courtyard Pool Building #2 Unit 7",,,
"05/05/2020","BLD2020050255","Residential Swimming Pool No Deck","11275 SE BLAIR LN, HOBE SOUND FL 33455","Closed-Cancelled","Hobe Sound Townhouse","Hobe Sound Courtyard Pool With Paver Deck - Building #2 Unit #11",,,
"05/05/2020","BLD2020050254","Residential Swimming Pool No Deck","11273 SE BLAIR LN, HOBE SOUND FL 33455","Closed-Cancelled","Hobe Sound Townhouse","Hobe Sound Courtyard Pool Building #2 Unit #10",,,
"05/05/2020","BLD2020050253","Residential Swimming Pool No Deck","11269 SE BLAIR LN, HOBE SOUND FL 33455","Closed-Cancelled","Hobe Sound Townhouse","Hobe Sound Courtyard Pool With Paver Deck -  Building #2 Unit 8",,,
"05/05/2020","BLD2020050252","Residential Swimming Pool No Deck","11269 SE BLAIR LN, HOBE SOUND FL 33455","Issued","Hobe Sound Townhouse","Hobe Sound Courtyard Pool with Paver Deck - Building #2 Unit #8",,,
"05/01/2020","BLD2020050064","Residential Swimming Pool No Deck","2938 SE ORCHID ST, STUART FL 34997-7830","Closed-Cancelled","Pool Permit","I would like to put in an above-ground 16 ft pool.",,,
"04/22/2020","BLD2020041017","Residential Swimming Pool No Deck","2834 SW RIVERS END WAY, PALM CITY FL 34990","Closed-Certificate Issued","Van Kirk & Sons Inc","New Pool; Spa",,,
"04/10/2020","BLD2020040480","Residential Swimming Pool No Deck","10863 SW HAWKVIEW CIR, STUART FL 34997-2709","Closed-Cancelled",,"new swimming pool construction",,,
"04/10/2020","BLD2020040477","Residential Swimming Pool No Deck","4451 SW BOAT RAMP AVE, PALM CITY FL 34990-5304","Issued",,"new swimming pool construction",,,
"03/16/2020","BLD2020030804","Residential Swimming Pool No Deck","19051 SE OUTRIGGER LN, JUPITER FL 33458-1087","Closed-Certificate Issued",,"Remodel existing pool with new waterline tile and plaster.",,,
"03/05/2020","BLD2020030251","Residential Swimming Pool No Deck","487 SW 11TH CT, PALM CITY FL 34990-1702","Issued",,"swimming pool spa",,,
"02/21/2020","BLD2020021108","Residential Swimming Pool No Deck","2162 SW RASPBERRY PL, PALM CITY FL 34990","Closed-Certificate Issued","Swimming pool","New swimming pool and screen enclosure",,,
"02/21/2020","BLD2020021072","Residential Swimming Pool No Deck","5811 SW PEACH PALM PL, PALM CITY FL 34990","Closed-Certificate Issued","Perino","Pool, Spa, Gas heater, deck by others",,,
"02/17/2020","BLD2020020734","Residential Swimming Pool No Deck","7875 SE HIDDEN BRIDGE CT, JUPITER FL 33458-1032","Closed Conditionally","Willoughby/Albano","Pool, spa, gas heater, paver deck by others, electrical by others",,,
"02/03/2020","BLD2020020070","Residential Swimming Pool No Deck","8786 SE RIVERFRONT TER, TEQUESTA FL 33469","Closed-Certificate Issued","Swimming Pool with Deck","Construction of in-ground pool with heater. Swimming Pool with Deck.",,,
"01/30/2020","BLD2020011194","Residential Swimming Pool No Deck","5180 SE BURNING TREE CIR, STUART FL 34997-8732","Closed-Certificate Issued","Walgreen","Inground concrete swimming pool",,,
"01/22/2020","BLD2020010847","Residential Swimming Pool No Deck","7904 SE OLD PLANTATION CIR, JUPITER FL 33458","Closed-Certificate Issued",,"Swimming pool, spa, no deck, supply propane heater",,,
"01/15/2020","BLD2020010582","Residential Swimming Pool No Deck","18205 SE VILLAGE CIR, TEQUESTA FL 33469-3403","Closed Conditionally",,"CONSTRUCT NEW POOL WITH SPA, GAS HEATER, AND HEAT PUMP.",,,
"01/10/2020","BLD2020010410","Residential Swimming Pool No Deck","4375 SW STONEYBROOK WAY, PALM CITY FL 34990-5636","Closed Conditionally",,"Construct new pool with spa",,,
"12/13/2019","BLD2019120612","Residential Swimming Pool No Deck","122 SE TURTLE CREEK DR, TEQUESTA FL 33469-1547","Closed-Cancelled",,"installation of a new pool and spa with new jandy equipment including heat pump and gas heater",,,
"12/05/2019","BLD2019120218","Residential Swimming Pool No Deck","8121 SE OLD PLANTATION CIR, JUPITER FL 33458","Reactivated",,"PERMIT RENEWED 3-31-21 (6 MONTHS)NEW SWIMMING POOL",,,
"11/15/2019","BLD2019110704","Residential Swimming Pool No Deck","2475 SW MURANO PL, PALM CITY FL 34990","Closed-Certificate Issued",,"installing new 6"" x 6"" colonial blue tile with new depth markers, install new quartz/scapes 3/8"" -1/2"" thick bring all main drain covers to code",,,
"11/12/2019","BLD2019110488","Residential Swimming Pool No Deck","3035 SE ST LUCIE BLVD, STUART FL 34997-5423","Closed-Certificate Issued","COWAN","gate code #4738CONSTRUCT 32""x 19' RECTANGLE GUNITE REFLECTING POOL ONLY 12"" DEEP",,,
"10/14/2019","BLD2019100712","Residential Swimming Pool No Deck","7926 SE HIDDEN BRIDGE CT, JUPITER FL 33458-1032","Closed Conditionally",,"INSTALL SWIMMING POOL/SPA, PIPING, GAS HEATER, & WINDOW/DOOR ALARMS (by others)",,,
"10/10/2019","BLD2019100596","Residential Swimming Pool No Deck","9308 SE GETTYSBURG CT, HOBE SOUND FL 33455-4044","Closed-Certificate Issued","Shawn Zaccheo","Swimming Pool with Plumbing",,,
"10/08/2019","BLD2019100407","Residential Swimming Pool No Deck","8534 SE BANYAN TREE ST, HOBE SOUND FL 33455-2907","Closed-Certificate Issued",,"NEW POOL NO DECK",,,
"10/08/2019","BLD2019100380","Residential Swimming Pool No Deck","1075 SE SALERNO RD, STUART FL 34997","Closed-Certificate Issued","Martin","swimming pool no deck",,,
"08/27/2019","BLD2019081304","Residential Swimming Pool No Deck","5714 SE HORSESHOE POINT RD, STUART FL 34997-2415","Closed-Certificate Issued","Kamper","pool ... deck by others",,,
"08/20/2019","BLD2019080916","Residential Swimming Pool No Deck","8859 SW FISHERMANS WHARF DR, STUART FL 34997-9112","Closed-Certificate Issued","Welch","Swimming pool- deck by others (revised 10-9-19 to include pool deck)",,,
"08/19/2019","BLD2019090455","Residential Swimming Pool No Deck","4480 SW STONEYBROOK WAY, PALM CITY FL 34990-5636","Closed-Certificate Issued","LOT 4 FOX GROVE","PERMIT RENEWED 12-8-20 (6 MONTHS)Swimming pool with heat pump",,,
"08/14/2019","BLD2019080691","Residential Swimming Pool No Deck","17801 SE FEDERAL HWY, TEQUESTA FL 33469-1747","Closed-Certificate Issued",,"Installation of new fiberglass pool",,,
"08/14/2019","BLD2019080671","Residential Swimming Pool No Deck","11861 SE SHELL AVE, HOBE SOUND FL 33455","Closed-Certificate Issued",,"Construct new pool with heat pump. no deck, artificial turf around pool",,,
"08/14/2019","BLD2019080668","Residential Swimming Pool No Deck","8836 SE MARINA BAY DR, HOBE SOUND FL 33455-2952","Closed-Certificate Issued",,"gate code 84206#  misc inspection- pool barrier onlyResurface existing pool, install 6' bench in deep end, provide gas heater, and install new pump",,,
"07/31/2019","BLD2019071550","Residential Swimming Pool No Deck","9 SE SADDLE BACK RD, TEQUESTA FL 33469-1512","Closed-Certificate Issued","D&D Housen","Pool, spa, gas heater, deck by others",,,
"07/02/2019","BLD2019070137","Residential Swimming Pool No Deck","1153 SW FAST ST, PALM CITY FL 34990-4113","Closed-Certificate Issued","Justin D'Angelo","Swimming Pool with plumbing, electric, 6 ton electric heat pump and a safety barrier + pavered deck.",,,
"06/05/2019","BLD2019060220","Residential Swimming Pool No Deck","6874 SE ISLE WAY, STUART FL 34996-1942","Closed-Certificate Issued",,"Construct gunite pool and spa *** revised to include concrete deck",,,
"06/04/2019","BLD2019060139","Residential Swimming Pool No Deck","16502 SW MORGAN ST, INDIANTOWN FL 34956-3727","Closed-Certificate Issued","Critoph","Pool, Spa, Deck BY OTHERS",,,
"05/23/2019","BLD2019051270","Residential Swimming Pool No Deck","940 SW CANOE CREEK TER, PALM CITY FL 34990","Closed-Certificate Issued","McCain","pool, spa, deck BY OTHERS",,,
"05/10/2019","BLD2019050586","Residential Swimming Pool No Deck","3035 SE ST LUCIE BLVD, STUART FL 34997-5423","Closed-Certificate Issued",,"Construct Gunite Spa",,,
"05/06/2019","BLD2019050239","Residential Swimming Pool No Deck","71 SE HARBOR POINT DR, STUART FL 33455-2131","Closed-Certificate Issued",,"CONSTRUCT NEW POOL WITH SPA, GAS HEATER, WATER/FIRE BOWLS (GAS BY GAS COMPANY) AND 2 RAISED PEDESTALS. NOTE: DECK ON MAIN BUILDING PERMIT  BLD2018080153",,,
"05/03/2019","BLD2019050215","Residential Swimming Pool No Deck","8500 SE SABAL ST, HOBE SOUND FL 33455-2937","Closed-Cancelled","2nd Generation Building Corp","In ground pool No Enclosure",,,
"05/02/2019","BLD2019050083","Residential Swimming Pool No Deck","1018 NW MOSSY OAK WAY, JENSEN BEACH FL 34957-3420","Closed-Certificate Issued","Racicot","In ground concrete swimming pool",,,
"04/19/2019","BLD2019040976","Residential Swimming Pool No Deck","1189 SW DYER POINT RD, PALM CITY FL 34990-4201","Closed-Cancelled","SVOPA POOL","INGROUND SWIMMING POOL AND SPA",,,
"04/15/2019","BLD2019040724","Residential Swimming Pool No Deck","4660 SW THISTLE TER, PALM CITY FL 34990-3943","Closed-Certificate Issued","Dion","swimming pool NO DECK",,,
"04/15/2019","BLD2019040681","Residential Swimming Pool No Deck","695 NE SAVANNA VIS, JENSEN BEACH FL 34957-3773","Closed-Certificate Issued",,"INSTALLING GUNITE SWIMMING POOL AND SPA WITH ELECTRIC HEAT PUMP AND CHILD SAFETY BARRIER FENCE",,,
"03/08/2019","BLD2019030387","Residential Swimming Pool No Deck","8185 SE OLD PLANTATION CIR, JUPITER FL 33458","Closed-Certificate Issued","Waxin","Pool, Spa, Gas Heater - Deck BY OTHERS",,,
"02/08/2019","BLD2019020323","Residential Swimming Pool No Deck","4779 SE ROCKY POINT WAY, STUART FL 34997-6968","Closed-Certificate Issued","Retcho","pool, spa, electric heater -- deck by others",,,
"02/07/2019","BLD2019020246","Residential Swimming Pool No Deck","3431 SE FAIRWAY OAKS TRL, STUART FL 34997-4709","Closed-Certificate Issued",,"***gate code #3691REMOVE AND REPLACE EXISTING POOL/SPA PLUMBING. ALSO REINSTALL EXISTING POOL/ SPA EQUIPMENT WITH NEW SUB PANEL",,,
"02/04/2019","BLD2019020102","Residential Swimming Pool No Deck","8537 SE MERRITT WAY, JUPITER FL 33458-1005","Closed-Certificate Issued",,"IN GROUND CONCRETE POOL/SPA, PERIMETER CHILD BARRIER MESH FENCE, POOL ELECTRIC, GAS HEATER, NO DECK",,,
"02/01/2019","BLD2019020040","Residential Swimming Pool No Deck","1778 NW PALMETTO TER, STUART FL 34994-9423","Closed-Certificate Issued",,"SWIMMING POOL WITH SAND PAVER DECK",,,
"01/29/2019","BLD2019011103","Residential Swimming Pool No Deck","8245 SE OLD PLANTATION CIR, JUPITER FL 33458","Closed-Certificate Issued","CAL LOT 105","INGROUND SWIMMING POOL WITH PAVER DECK",,,
"01/24/2019","BLD2019010928","Residential Swimming Pool No Deck","3645 SW WHISPERING SOUND DR, PALM CITY FL 34990-7727","Closed-Certificate Issued","COMMERCIAL-WHISPERING SOUND HOA","Gate Code 6728INSTALL NEW 6""X6"" TILE WITH NEW DEPTH MARKERS- INSTALL NEW WHITE PLASTER WITH BLUE QUARTZ 3/8 -1/2"" THICK- BRING MAIN DRAIN COVERS TO CODE",,,
"01/18/2019","BLD2019010703","Residential Swimming Pool No Deck","18567 SE FERLAND CT, TEQUESTA FL 33469-1775","Closed-Certificate Issued",,"INSTALL SPA, PIPING, GAS HEATER, & BABY FENCE (BY OTHERS)",,,
"01/18/2019","BLD2019010697","Residential Swimming Pool No Deck","6774 SE RAINTREE AVE, STUART FL 34997-2231","Waiting on Applicant","Above Ground Pool","48X15 hard sided above ground pool",,,
"01/15/2019","BLD2019010570","Residential Swimming Pool No Deck","8225 SE OLD PLANTATION CIR, JUPITER FL 33458","Closed-Certificate Issued","LENNAR LOT 103","INGROUNG SWIMMING POOL WITH PAVER DECK",,,
"11/16/2018","BLD2018110653","Residential Swimming Pool No Deck","9363 SE YARDARM TER, HOBE SOUND FL 33455-3251","Closed Conditionally","Vecchione","PERMIT RENEWED 5-4-20 (6 MONTHS)pool, spa, gas heater - deck by others",,,
"11/09/2018","BLD2018110336","Residential Swimming Pool No Deck","2098 SW TRAILSIDE PATH, STUART FL 34997","Closed-Certificate Issued","Spiritis","Pool, spa, gas heater - Deck BY OTHERS",,,
"10/23/2018","BLD2018101095","Residential Swimming Pool No Deck","2864 NE ROSETREE DR, JENSEN BEACH FL 34957-4758","Closed-Certificate Issued",,"Renovation/existing vinyl liner pool converting to gunite pool. No change to existing plumbing replacing existing vinyl liner pool with gunite. The only change in existing plumbing is from existing main drain to 32 inch channel drain. No electrical required. No change on existing patio",,,
"10/17/2018","BLD2018100810","Residential Swimming Pool No Deck","1904 SE COLONY WAY, JUPITER FL 33478-8315","Closed-Certificate Issued","CCB 1904 SE Colony Way","swimming pool, spa, gas heater",,,
"10/11/2018","BLD2018100534","Residential Swimming Pool No Deck","6781 SE HARBOR CIR, STUART FL 34996-1964","Closed-Certificate Issued",,"New swimming pool construction.",,,
"10/02/2018","BLD2018100142","Residential Swimming Pool No Deck","18933 SE FERNWOOD DR, TEQUESTA FL 33469","Closed-Certificate Issued",,"PERIMETER PIPINGJANETNew pool & spa w/o deck",,,
"09/19/2018","BLD2018090753","Residential Swimming Pool No Deck","8423 SE PILOT'S COVE TER, HOBE SOUND FL 33455-3936","Closed-Certificate Issued","Konyk","New Construction - Swimming pool - no deck",,,
"08/31/2018","BLD2018081534","Residential Swimming Pool No Deck","1912 NW COVE CIR, STUART FL 34994-9468","Closed-Certificate Issued",,"New pool per plan.  No Deck",,,
"08/29/2018","BLD2018081362","Residential Swimming Pool No Deck","10869 SE LINDEN ST, TEQUESTA FL 33469-1629","Expired",,"Swimming pool with no deck.",,,
"08/15/2018","BLD2018080752","Residential Swimming Pool No Deck","1191 SE COLBY AVE, HOBE SOUND FL 33455","Closed-Certificate Issued",,"Install inground swimming pool (no deck)",,,
"08/08/2018","BLD2018080406","Residential Swimming Pool No Deck","1370 SW ALBATROSS WAY, PALM CITY FL 34990-1715","Closed-Certificate Issued","O'Hargan","inground concrete swimming pool",,,
"07/19/2018","BLD2018071042","Residential Swimming Pool No Deck","1600 SE RANCH RD, JUPITER FL 33478","Closed-Certificate Issued",,"PERMIT RENEWED ON 07/11/2019 FOR (6 MONTHS) - CONSTRUCT NEW POOL WITH SPA, HEAT PUMP AND GAS HEATER",,,
"07/17/2018","BLD2018070857","Residential Swimming Pool No Deck","982 SW BLUE STEM WAY, STUART FL 34997-7141","Closed-Certificate Issued",,"INSTALL A GUNITE SWIMMING POOL WITHOUT DECK",,,
"06/27/2018","BLD2018061669","Residential Swimming Pool No Deck","177 SE ETHAN TER, STUART FL 34997-7403","Closed-Certificate Issued",,"NEW SWIMMING POOL & POOL PIPING WITH PAVER DECK",,,
"06/20/2018","BLD2018061246","Residential Swimming Pool No Deck","11731 SE SHELL AVE, HOBE SOUND FL 33455","Closed-Certificate Issued",,"Construct new pool with spa, gas heater, and heat pump.  NO DECK at all, just grass around pool.",,,
"06/14/2018","BLD2018060882","Residential Swimming Pool No Deck","9755 SW MONTROSE TER, PALM CITY FL 34990-5490","Closed-Certificate Issued",,"INSTALL GUNITE SWIMMING POOL",,,
"06/05/2018","BLD2018060189","Residential Swimming Pool No Deck","8566 SE BAYBERRY TER, HOBE SOUND FL 33455-4134","Closed-Certificate Issued","Wilbur","Inground concrete swimming pool and paver deck",,,
"05/31/2018","BLD2018060009","Residential Swimming Pool No Deck","1597 SW GOPHER TRL, PALM CITY FL 34990","Closed-Certificate Issued","champion pools & spas inc","GATE CODE #1597ANAMARIA CALL IF ISSUES 561687-8807 EXT 221inground swimming pool with spas & deck",,,
"05/24/2018","BLD2018051492","Residential Swimming Pool No Deck","10877 SE HOBART ST, TEQUESTA FL 334691671","Closed-Certificate Issued","Holeman Residence","Inground Swimming Pool - NO Deck",,,
"05/10/2018","BLD2018050635","Residential Swimming Pool No Deck","8209 SE RIVERS EDGE ST, JUPITER FL 33458-1021","Closed-Certificate Issued",,"30""X49'6"" CURVED POOL WITH SPA AND VANISHING EDGE. DECKING BY OTHERS; ELECTRIC BY OTHERS",,,
"05/02/2018","BLD2018050254","Residential Swimming Pool No Deck","18045 SE FEDERAL HWY, TEQUESTA FL 33469-1743","Closed-Certificate Issued",,"**01/07/2019 - PARTIAL POOL PIPING FOR SUCTION PIPES ONLYCONSTRUCT A NEW SWIMMING POOL WITH SPA, GAS HEATER, AND HEAT PUMP",,,
"04/25/2018","BLD2018041812","Residential Swimming Pool No Deck","1478 SW SEAHAWK WAY, PALM CITY FL 34990-4250","Closed-Certificate Issued",,"BUILD A NEW 14' X 30' POOL AND STEMWALL",,,
